x,y,z,D_20171127,D_20171209,D_20171221,D_20180102,D_20180114,D_20180126,D_20180207,D_20180219,D_20180303,D_20180315,D_20180327,D_20180408,D_20180420,D_20180502,D_20180514,D_20180607,D_20180619,D_20180701,D_20180713,D_20180725,D_20180806,D_20180818,D_20180830,D_20180911,D_20180923,D_20181005,D_20181017,D_20181029,D_20181110,D_20181122,D_20181204,D_20181216,D_20181222,D_20181228,D_20190109,D_20190121,D_20190202,D_20190214,D_20190226,D_20190310,D_20190322,D_20190403,D_20190415,D_20190509,D_20190521,D_20190602,D_20190614,D_20190626,D_20190708,D_20190720,D_20190801,D_20190813,D_20190906,D_20190918,D_20190930,D_20191012,D_20191105,D_20191117,D_20191129,D_20191211,D_20191223,D_20200104
102.903277,29.234288,728.963196,0.000000,3.172843,4.655313,1.579132,-0.668386,-0.654065,-1.331482,-0.229107,-0.257699,-2.737423,-0.414049,-0.846978,-4.506685,6.918292,-10.567607,-5.004546,1.648775,-0.315828,2.347122,1.176134,-4.544819,1.964907,-0.049443,3.079363,3.519073,-6.847050,-1.674307,1.665013,4.145315,3.231827,-1.199409,0.679769,-0.810111,1.617980,-1.301136,0.814440,-0.110668,-4.792115,-1.645710,2.455303,4.633215,4.984144,-0.123009,1.377850,-36.990410,11.709038,6.311565,-2.097301,-2.978857,4.582763,5.208663,3.980086,2.260885,1.740620,-1.270233,0.673870,-0.320615,1.082505,-0.062190,-2.787156,-0.971193,-1.710605
102.903444,29.234288,721.132019,0.000000,2.796148,4.454693,1.467919,-0.578679,-0.663046,-1.336857,-0.214210,-0.236946,-2.832342,-0.305855,-1.251199,-3.956957,4.881775,-7.339977,-7.269873,-0.007720,-0.461683,3.701777,-2.764737,-3.402307,1.517392,0.681794,2.374142,2.609035,-6.072009,-1.574850,2.719106,2.467623,3.357471,-1.600439,0.386649,-0.468455,1.541217,-1.463131,0.775287,1.349705,-1.634562,1.054869,0.525787,0.620972,-0.138776,-1.167524,-5.992657,-0.823385,2.280070,7.098277,-4.869712,8.732712,-1.678001,-4.516894,-33.528465,12.444809,7.247629,-2.733261,-3.446495,6.399223,4.556406,2.849635,2.027871,1.582629,-1.517264
102.902944,29.234121,749.885559,0.000000,5.772574,5.564031,1.635138,-1.303377,-0.954164,-1.185798,0.081397,-0.077362,-2.605951,-1.001752,0.837816,-9.583754,12.841818,-13.741270,-4.467893,1.539644,-1.000483,-0.996055,15.521363,-5.604870,0.591074,2.054137,2.791340,-5.313650,-4.179059,1.679523,7.368307,3.209739,-1.905846,-0.171781,0.040495,0.594431,-1.070962,1.089884,0.849055,-0.776556,1.201738,0.684291,2.124777,-0.797803,-1.245484,-7.941339,0.061452,8.221557,-0.848176,-1.075813,-0.864972,3.889506,-44.272593,16.424495,6.604478,2.196697,-4.169130,5.979638,8.577791,2.951009,0.754909,-0.982391,0.252123,0.540668,0.509254
102.903277,29.234121,732.051758,0.000000,3.803236,5.238621,1.693187,-0.857153,-0.887227,-1.311121,-0.287477,0.049656,-2.811997,-0.547681,-1.948487,-5.069070,8.654815,-10.711523,-6.352687,5.504069,-0.973254,1.483503,2.712577,-5.502656,1.350170,0.200924,2.973363,-3.119995,-3.317744,2.232545,5.375583,3.577494,0.912249,-0.652404,1.229137,0.361320,-0.174383,-0.915829,-7.007035,-0.757863,0.095347,12.034523,-7.719318,6.513514,-0.136704,-1.187486,-37.288228,15.743601,6.415449,-0.116475,-3.143297,5.770187,5.128350,6.385988,1.655356,-1.498502,0.703563,-0.603748,1.049350,1.143337,-0.753478,-2.763541,-3.033646,-2.886747,1.724817
102.903444,29.234121,723.834961,0.000000,3.072415,4.584354,1.659344,-0.748814,-0.770897,-1.298556,-0.397057,0.121065,-2.953674,-0.283350,-5.906627,5.563677,-7.800479,-7.196681,2.909918,-0.663035,2.788691,-0.934019,-3.973275,1.246769,0.624860,2.505894,3.430681,-6.530641,-2.356787,2.782140,3.224261,2.983201,-1.360914,0.464967,-0.006610,1.421023,-1.245202,0.641010,1.428770,-1.679121,0.892176,0.732564,0.857464,-0.519871,-1.019592,-6.017225,-0.596094,1.513790,1.394243,10.346010,-1.660468,-8.772214,-30.867854,15.863512,6.381752,-0.458860,-4.569437,5.923448,4.280747,3.607183,1.863832,1.652767,-1.768879,0.610980,-0.553437
102.903610,29.234121,716.469788,0.000000,2.391496,3.793428,1.536016,-0.636301,-0.537975,-1.396621,-0.497992,0.105852,-2.376463,-1.043771,-4.411848,1.466610,-5.129884,-5.786816,-1.872274,0.165338,4.431391,-4.297278,-1.846988,1.099067,1.103387,1.733675,1.687103,-4.772362,-1.667338,2.534858,1.724485,2.708725,-1.520146,0.062575,0.607234,1.552954,-1.300675,0.381402,1.520745,-1.768128,1.137341,0.395742,1.042104,-0.690574,-1.558423,-4.108890,-1.154820,0.443773,6.195728,-5.709782,12.731146,-1.833215,-4.896818,-33.971343,14.510625,6.481884,-0.886778,-6.616529,5.815277,3.642233,2.333885,1.869604,1.179092,-1.838605,0.761199
102.903777,29.234121,709.788208,0.000000,2.868317,3.611226,1.328761,-0.242159,-0.780433,-1.166926,-0.703161,0.207744,-2.146466,-1.332756,-4.330328,-0.433649,-4.121376,-3.869814,-2.646836,0.064401,4.223152,-3.960722,-1.329432,0.046082,1.704952,1.985237,0.448799,-3.406710,-1.554351,2.487372,0.989292,2.604102,-1.388997,-0.226604,0.724263,1.600467,-1.159823,0.262844,1.559477,-1.788973,1.279766,0.071867,0.980534,-0.144922,-0.699146,-3.230453,-1.528091,-0.043940,7.198421,-2.603144,5.823547,-33.313595,13.693270,6.711603,-0.875221,-6.441548,4.746254,3.465404,1.759113,1.598993,0.983312,-1.692521,0.820057,-0.337560,1.247329
102.903944,29.234121,703.690674,0.000000,2.876610,3.356533,1.399879,-0.014505,-1.073986,-0.750869,-1.054635,0.198498,-1.977813,-5.772665,-2.016283,-4.101044,0.396920,-3.570287,0.414173,2.889233,-4.444665,-0.739739,-0.394199,1.160055,2.939979,-0.735775,-2.750947,-0.916721,1.489363,0.809666,2.487401,-1.037838,0.074468,0.335659,1.835797,-1.179281,0.132138,1.371809,-1.259111,1.351247,0.348792,0.301139,0.064963,-1.181782,-2.348252,-2.831328,-0.152682,8.982342,-0.259729,7.941173,-0.496754,2.208126,-30.244061,6.226460,7.499278,-2.813260,-4.239750,4.740332,3.619359,1.524638,1.817104,1.092087,-1.318658,0.638169,-0.351892
102.904110,29.234121,698.107605,0.000000,3.077997,3.026131,1.388349,0.122411,-1.108132,-0.190006,-1.489483,0.401032,-2.623241,-3.717793,-1.813307,-2.789679,-4.039062,3.198940,-3.765624,-0.179408,2.184306,-1.269751,-0.113843,0.363645,0.950928,0.215515,-0.272953,-3.590081,0.456580,0.883909,0.110595,2.951754,-1.161935,0.662543,-0.382184,2.139940,-1.505035,0.288004,1.183717,-0.810774,1.607565,0.100319,0.342776,-0.092027,-1.375365,-2.641717,-2.867267,-0.273067,10.267929,-0.469990,8.406392,-0.210332,-3.726940,-13.543415,-3.836759,7.807974,-4.769909,-2.944730,4.712215,3.703347,2.348423,1.350475,1.484803,-1.198640,0.495969
102.902610,29.233954,772.961121,0.000000,7.132779,4.778183,2.212323,-1.504552,-2.255169,-0.798506,-0.686509,0.939827,-1.724085,-1.789245,-0.709564,-8.239064,-6.483103,-8.609952,0.635776,-3.066454,-0.351142,-0.960907,-2.906210,-2.264761,5.551729,2.158760,6.830207,-7.726392,-3.651066,3.886358,4.860436,2.475163,-0.223472,-1.118127,0.915067,-0.422299,0.398906,0.388024,1.764942,-0.570084,1.610900,-0.206742,3.113651,-2.064911,-0.221392,-5.016571,1.372740,2.998611,3.925575,-5.037997,-1.359598,1.818525,5.870931,-28.911007,7.594803,3.718277,2.371371,-5.093340,5.772651,4.759126,0.714896,2.322366,0.031281,0.003889,0.146992
